fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	learning_rate	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 041038	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.43462467720039	367	6898	10843	57447145.9270365	35
20231117 041243	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.825502640201698	276	19414	11178	73126393.8030985	36
20231117 041959	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.4877810671457	836	9062	13117	71720450.2748626	37
20231117 042206	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.764348257525251	995	17374	9444	75407302.3488256	38
20231117 042446	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.287326944826964	516	18266	8547	60210400.2998501	39
20231117 042657	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.134463199849554	114	1376	11798	90610021.9890055	40
20231117 042935	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.927069905593279	215	7009	11553	85999624.6876562	41
20231117 043203	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.65094671270396	307	9879	10950	84493848.075962	42
20231117 043410	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.147636384095454	664	17133	9833	81137895.5522239	43
20231117 043700	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.317993556838962	782	17163	8547	60210400.2998501	44
20231117 043915	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.921655599488706	1022	15541	9066	75016260.8695652	45
